time,node,timestamp,result,channel,duration
151002,14,126.0,coll,1,2700
151029,8,207.0,succ,1,2700
153738,6,108.0,coll,1,2700
153738,9,162.0,coll,1,2700
153738,11,567.0,coll,1,2700
153756,11,576.0,succ,1,2700
156456,11,0.0,succ,1,2700
159174,7,108.0,succ,1,2700
161874,7,0.0,succ,1,2700
164583,10,675.0,succ,1,2700
167310,9,225.0,coll,1,2700
167310,12,117.0,coll,1,2700
167328,10,36.0,coll,1,2700
167328,13,198.0,coll,1,2700
167346,11,72.0,succ,1,2700
170064,5,486.0,succ,1,2700
172773,6,216.0,coll,1,2700
172773,7,81.0,coll,1,2700
172773,14,261.0,coll,1,2700
172782,7,81.0,succ,1,2700
175491,6,225.0,succ,1,2700
178200,8,135.0,succ,1,2700
180909,12,189.0,coll,1,2700
180909,13,261.0,coll,1,2700
180927,11,63.0,succ,1,2700
183663,10,144.0,coll,1,2700
183663,13,306.0,coll,1,2700
183681,6,72.0,coll,1,2700
183681,9,351.0,coll,1,2700
183681,12,243.0,coll,1,2700
183699,8,72.0,succ,1,2700
186408,14,360.0,succ,1,2700
189108,14,0.0,succ,1,2700
191817,14,9.0,succ,1,2700
194526,6,108.0,coll,1,2700
194526,11,81.0,coll,1,2700
194544,5,135.0,coll,1,2700
194544,7,126.0,coll,1,2700
194553,7,126.0,succ,1,2700
197271,6,135.0,coll,1,2700
197271,9,414.0,coll,1,2700
197271,11,108.0,coll,1,2700
197289,9,423.0,succ,1,2700
199989,9,0.0,succ,1,2700
202707,13,405.0,succ,1,2700
205425,10,261.0,succ,1,2700
208134,12,360.0,coll,1,2700
208134,14,90.0,coll,1,2700
208152,7,81.0,succ,1,2700
210861,9,63.0,succ,1,2700
213570,6,216.0,coll,1,2700
213570,7,18.0,coll,1,2700
213570,8,135.0,coll,1,2700
213597,9,27.0,succ,1,2700
216306,5,261.0,succ,1,2700
219015,9,18.0,coll,1,2700
219015,12,423.0,coll,1,2700
219015,14,153.0,coll,1,2700
219042,5,27.0,coll,1,2700
219042,10,90.0,coll,1,2700
219042,11,243.0,coll,1,2700
219069,13,126.0,succ,1,2700
221778,6,297.0,succ,1,2700
224496,12,486.0,succ,1,2700
227205,7,126.0,succ,1,2700
229923,8,261.0,succ,1,2700
232632,5,108.0,coll,1,2700
232632,6,54.0,coll,1,2700
232632,10,171.0,coll,1,2700
232632,14,252.0,coll,1,2700
232650,13,72.0,succ,1,2700
235359,6,72.0,coll,1,2700
235359,12,54.0,coll,1,2700
235359,14,270.0,coll,1,2700
235377,5,135.0,coll,1,2700
235377,12,63.0,coll,1,2700
235377,13,18.0,coll,1,2700
235395,9,153.0,coll,1,2700
235395,11,360.0,coll,1,2700
235422,7,81.0,succ,1,2700
238140,9,189.0,coll,1,2700
238140,13,63.0,coll,1,2700
238158,10,252.0,succ,1,2700
240867,6,144.0,succ,1,2700
243576,5,207.0,succ,1,2700
246294,5,18.0,coll,1,2700
246294,12,153.0,coll,1,2700
246294,14,369.0,coll,1,2700
246303,14,369.0,succ,1,2700
249012,8,135.0,coll,1,2700
249012,10,45.0,coll,1,2700
249030,7,81.0,succ,1,2700
251748,6,63.0,coll,1,2700
251748,7,18.0,coll,1,2700
251748,9,270.0,coll,1,2700
251748,10,72.0,coll,1,2700
251748,11,477.0,coll,1,2700
251757,6,63.0,coll,1,2700
251757,10,72.0,coll,1,2700
251811,11,522.0,coll,1,2700
251811,13,189.0,coll,1,2700
251829,7,72.0,succ,1,2700
254529,7,0.0,succ,1,2700
